split,method,negation,coverage,accuracy,macro_f1,n_total,n_covered
dev,dep,enabled,0.6493987049028677,0.7407407407407407,0.6283856105733433,1081,702
dev,pmi,enabled,0.41535615171137835,0.7951002227171492,0.6600500362104154,1081,449
dev,dep->pmi,enabled,0.6558741905642923,0.7404795486600846,0.6270554602630074,1081,709
dev,pmi->dep,enabled,0.6558741905642923,0.7559943582510579,0.6501322091043155,1081,709
dev,dep,disabled,0.6493987049028677,0.7207977207977208,0.5604482666087379,1081,702
dev,pmi,disabled,0.41535615171137835,0.779510022271715,0.5882832399388691,1081,449
dev,dep->pmi,disabled,0.6558741905642923,0.7207334273624824,0.5594338438363043,1081,709
dev,pmi->dep,disabled,0.6558741905642923,0.7249647390691114,0.5649362296676013,1081,709
